Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Hasta Melapa,1969,126,6.9,24,Drama,gujarati
Gangavatarana,1984,137.5,6.4,10,Unknown,telugu
Amnol Sahara,1952,126,6.9,24,Drama,hindi
Waqt Ka Shahenshah,1987,137,4.9,11,Action,hindi
Coffee Bloom,2015,90,5.9,101,Drama,hindi
Laila Majnu,1976,140,7.2,259,"Drama, Musical, Romance",oriya
Vidiyum Munn,2013,129,7.4,434,Thriller,tamil
Olappeeppi,2016,121,7.6,120,Drama,malayalam
Duniya Ke Rangeen Raatein,1997,126,6.9,24,Drama,hindi
Timi Sanga,2018,133,6.1,11,Romance,nepali
Oho Naa Pellanta,1996,130,6.2,19,Comedy,telugu
Ivanu Thumba Orata,2009,126,6.9,24,Drama,kannada
Apnapan,1977,133,6.5,73,"Drama, Romance",hindi
Saath Laakh,1957,125,6.75,43.5,"Musical, Romance",urdu
Insaan,1966,137.5,6.4,10,Unknown,urdu
Takrav,2018,147,5.6,84,"Action, Romance",bhojpuri
Highway,2014,133,7.6,26801,"Crime, Drama, Romance",hindi
Pratipaksha,1988,108,6.9,8,"Action, Drama",bengali
Har Raat Naya Khiladi,1990,120,6,32,Thriller,hindi
Naanaage Naanillai,2016,126,6.9,24,Drama,tamil
Atma Tarang,1937,137.5,6.4,10,Unknown,hindi
Dehorokkhi: The Bodyguard,2013,167,6.8,402,Action,bengali
Beru,2005,104,8.3,19,Drama,kannada
Paigham,1988,168,6.6,15,Fantasy,hindi
The Rubiks game,2014,30,7.45,15.5,"Short, Thriller",malayalam
Anthervedam,2018,120,6,32,Thriller,telugu
Enakkul Oru Kadhal,2009,97,6.9,24,Drama,tamil
Samsara Nauka,1989,137.5,6.4,10,Unknown,kannada
Patthe Bapurao,1950,143,6.4,10,Unknown,marathi
Vida Parayaanmathram,1988,137.5,6.4,10,Unknown,malayalam
White,2016,149,3,471,Romance,malayalam
Sayahnam,2000,137.5,7,10,Unknown,malayalam
Preetam,2021,133,9,15,Romance,marathi
Britto,2014,124,7.5,12,Drama,bengali
Amrutha Geetham,1982,137.5,6.4,10,Unknown,malayalam
Pyar Ka Jigar,2003,133,6.2,31,Romance,hindi
Stalin Sivadas,1999,118,2.7,47,"Action, Thriller",malayalam
Dheeran,1987,137.5,6.4,10,Unknown,malayalam
Gopichand Jasoos,1982,150,5.9,123,"Comedy, Thriller",hindi
Vikrant Rona,2021,136,5.3,28,"Action, Adventure, Fantasy",kannada
Joy: The Real Love Story,2007,127,2.1,1601,"Drama, Romance, Thriller",hindi
Dharavi,1992,120,7.1,282,"Crime, Drama",hindi
Kamadhenu,1976,137.5,6.4,10,Unknown,malayalam
Sansarer Itikatha,1983,126,6.9,24,Drama,bengali
Shani Arshad: Adha Adha,2019,5,8,17,"Short, Music",urdu
Noces,2016,98,7.1,1360,Drama,oriya
Tu Heer Main Tera Hero,2021,130,6.1,42,Comedy,urdu
Madi Veetu Ezhai,1981,137.5,6.4,10,Unknown,tamil
Khoobsurat Kali,2003,120,6,32,Thriller,hindi
Puthayal,1997,144,5.9,51,Unknown,tamil
Urimai,1985,137.5,6.4,10,Unknown,tamil
Babai Abbai,1984,117,6.3,102,"Comedy, Romance",telugu
Yaar Meri Zindagi,2008,146,4.8,39,"Drama, Family, Musical",hindi
Denied: A Life Confined,2013,22,7.5,37.5,Documentary,nepali
Jhoomar,2007,137.5,6.9,7,Unknown,oriya
Hututu,2014,138,5,5,Comedy,marathi
Parchhaeen,1989,120,6,32,Thriller,hindi
Chettathi,1965,137.5,6.4,10,Unknown,kannada
Sharda,1981,126,5.5,19,"Drama, Family",hindi
Satyanweshi Byomkesh,2019,108,6.5,267,"Crime, Mystery, Thriller",bengali
Mahan,1996,132,6,8,"Drama, Family",bengali
Takht-O-Taj,1970,137.5,6.4,10,Unknown,urdu
Death Match,,147,5.6,612,"Action, Adventure, Thriller",nepali
Kanthaswamy,2009,190,5,1567,"Action, Crime",tamil
Vishwa Thulasi,2004,145,6.1,32,"Drama, Musical, Romance",tamil
Saakshyam,2018,166,4.7,437,Action,telugu
Circus Queen,1959,137,5.5,21,Action,hindi
"Haseena: Smart, Sexy, Dangerous",2006,120,6,32,Thriller,hindi
Seemana,1996,144,8.9,8,"Action, Drama",nepali
Weather Report,2017,91,6.9,24,Drama,marathi
Shutter,2012,133,7.7,1017,Thriller,malayalam
Maithaanam,2011,125,5.9,7,"Drama, Family, Mystery",tamil
Sons of Ram,2012,85,6.6,76,"Animation, Drama, Musical",tamil
Duti Mon,2011,126,6.9,24,Drama,bengali
Swapna Lokam,1999,133,6.2,31,Romance,telugu
Pattalam,2003,159,5.1,316,"Action, Comedy, Drama",malayalam
The Twelve Thousand,2020,28,7.8,10,"Short, Drama",nepali
Indulekha (Malayalam),2020,22,6.9,24,Drama,malayalam
Sukham Sukhakaram,1994,137.5,6.4,10,Unknown,malayalam
Santa,1961,126,6.9,24,Drama,telugu
Mullamottum Munthiricharum,2012,126,4.3,14,Drama,malayalam
Fired,2010,87,4.4,260,Horror,hindi
Dillagi,1999,188,5.3,1068,"Drama, Musical, Romance",hindi
Nesi,2009,126,6.9,24,Drama,tamil
Kaana Kanmani,2009,132,4.4,106,"Drama, Horror",malayalam
Bhagwaan Dada,1986,147,4.3,167,"Drama, Thriller",hindi
A 2nd Hand Lover,2015,135,6.2,31,Romance,kannada
Sampoorna Sant Darshanam,1978,126,6.9,24,Drama,hindi
Avar Enakke Sontham,1977,66,6.4,10,Unknown,tamil
Dharti ke God Mein,1971,126,6.9,24,Drama,hindi
Valar Pirai,1962,137.5,6.4,10,Unknown,tamil
Shaitaan: A Vision of Madness,2018,65,6,32,Thriller,hindi
Haaru Hakkiyaneri,2010,126,6.9,24,Drama,kannada
Payal Ki Jhankar,1968,132,4.4,12,"Action, Adventure, Comedy",hindi
Juniors,2003,133,5.2,13,Romance,telugu
Palkon Ki Chhaon Mein,1977,127,7.5,65,"Drama, Romance",hindi
Dil Ka Sathi Dil,1982,133,6.7,18,Romance,hindi
Mounamelanoyi,2002,154,6.7,16,Romance,telugu
Punar Milan,1940,136,6.7,61.5,"Drama, Romance",hindi
Maa Shakti,2002,126,8.4,15,History,malayalam
Let's Break Up,2020,137.5,6.4,10,Unknown,kannada
HIRER SHIKAL,1988,126,6.7,61.5,"Drama, Romance",bengali
Mohanlal,2018,150,4.5,507,Comedy,malayalam
Dharti Ke Lal,1950,125,6.4,16,"Drama, History",hindi
Angadipattu,2018,23,6.1,42,Comedy,malayalam
Golmaal Returns,2008,135,5.1,7115,"Comedy, Crime, Mystery",hindi
The Journey Within,2015,78,7,35,"Documentary, Music",oriya
Janma Bhoomi,1995,126,8,6,Drama,nepali
Inspector Gullu,2018,124,6.8,32,Action,hindi
Deiva Thirumagal,2011,166,8.1,4954,Drama,tamil
Aaj Ka Inteqaam,1991,120,6,32,Thriller,hindi
Tuch Khari Gharchi Laxmi,2011,115,6.9,24,Drama,marathi
Pataas,2015,127,6.7,758,"Action, Comedy",telugu
Ram,2022,140,6.3,524,"Action, Crime, Thriller",malayalam
Monagadu,1976,151,6.6,61,"Crime, Drama",telugu
Kala Dhanda Goray Log,1986,158,5.7,35,"Drama, Family",hindi
Vishwaguru,2017,127.5,7.6,19,Biography,malayalam
Thappad,2020,142,6.8,14626,Drama,hindi
Talentime,2009,120,6.8,183,Drama,tamil
Maan Bhi Jao Sanam,2018,49,6.1,42,Comedy,urdu
Shah,2015,109,8.5,1392,"Biography, Drama, Sport",urdu
Harsha Varsha Jayaraj,2020,14,8,6,"Short, Comedy",malayalam
Yeh Kaise Hua,1984,137.5,6.4,10,Unknown,urdu
Adavukal Pathinettu,1978,137.5,6.4,10,Unknown,malayalam
Bhale Papa,1971,137.5,6.4,10,Unknown,telugu
Raakhi Ki Saugandh,1979,141.5,6,106,"Action, Crime, Drama",hindi
Khara Varasdar,1986,126,6.9,24,Drama,marathi
Lakhon Fasane,1961,126,6.9,24,Drama,urdu
Qissa: The Tale of a Lonely Ghost,2013,109,6.7,896,"Drama, Fantasy, Horror",punjabi
Amma I Love You,2018,147,7.4,55,Drama,kannada
Kahi Katai,2018,124,6.5,18,Family,nepali
Adhiktam,2020,45,5.4,416,"Action, Comedy",hindi
Oru Vasantha Geetham,1994,137.5,4.7,9,Unknown,tamil
Ishq Ishq,1977,130,3.4,23,Musical,urdu
Aata Hoti Geli Kuthe,1991,130,6.1,42,Comedy,marathi
123,2002,127,5.7,59,Comedy,telugu
Saajan Ki Saheli,1981,142,5.5,44,"Family, Drama",hindi
Chanakya,2019,147,5.4,492,"Action, Adventure, Thriller",malayalam
Khaan Dost,1976,157,5.6,38,"Action, Crime, Drama",hindi
Kalsandhya,1997,124,7.8,11,Drama,assamese
Ippadikku En Kadhal,2007,115,6.9,24,Drama,tamil
Chottanikkara Amma,1976,132,6.6,8,Drama,malayalam
Sutradhaarulu,1990,148,8.1,55,"Drama, Musical",telugu
Butter & Cheese,2014,13,8.1,6.5,"Short, Family",nepali
That Girl in Yellow Boots,2010,103,6.6,3574,"Crime, Drama, Mystery",kannada
Aanamuttathe Aangalamar,2000,108,6.3,94,"Comedy, Drama",malayalam
Jhankar,1942,137.5,6.4,10,Unknown,hindi
Ira Thedunna Manushyar,1981,137.5,6.4,10,Unknown,malayalam
Aideu,2007,91,6.4,10,Unknown,assamese
American Desi,2001,100,6.6,1583,"Comedy, Drama, Romance",hindi
Chettayees,2012,124,4.7,134,Family,malayalam
Ambalakkara Panchayath,1988,137.5,6.4,10,Unknown,malayalam
Supportive Men,2014,21,8.9,38,"Documentary, Short, Family",nepali
 Alif Laila,1997,144,6.5,12.5,"Adventure, Fantasy",urdu
Poila April,2021,126,6.9,24,Drama,bengali
Bachelor Husband,1950,137.5,6.4,10,Unknown,hindi
Oru Nadigai Natakam Pakiral,1978,131,6.2,12,Unknown,tamil
Dunia Gol Hai,1974,137.5,6.4,10,Unknown,urdu
Chalta Purza,1958,135.5,6.6,15,Fantasy,hindi
Hichki,2018,116,7.5,10905,"Comedy, Drama",hindi
Lover Boy,1985,136,4.1,19,"Drama, Romance",hindi
Babul,1986,162,4.8,9,Drama,hindi
Babu,2020,26,7.8,10,"Short, Drama",nepali
Swabhimaan,2019,122,6.9,24,Drama,gujarati
Meera,1947,120,7.7,14,Unknown,hindi
Red Indians,2001,137.5,4.7,15,Unknown,malayalam
Navabharata,1988,137.5,6.4,10,Unknown,kannada
Tribhanga,2021,95,6.1,2406,"Drama, Family",hindi
Sri Bannari Amman,2002,149,6.9,24,Drama,tamil
Dear Love,2020,137.5,6.4,10,Unknown,nepali
Apoorva Mahaan,2015,135,6.9,24,Drama,tamil
Haidar Sultan,1982,144,6,77,"Action, Drama",punjabi
3 Monkeys,2020,131,6.5,82,Drama,telugu
Carbon,2018,146,6.9,1115,"Adventure, Thriller",malayalam
Kaapalika,1973,131,7.8,5,Unknown,malayalam
Karunamayi,1987,137,6.4,10,Unknown,kannada
Phone Bhoot,2021,131,5.5,274,"Comedy, Horror",hindi
Aag aur Angaray,1990,137,5.5,21,Action,hindi
Athmasakhi,2016,137.5,6.4,10,Unknown,malayalam
Vachikava,2014,126,6.9,24,Drama,tamil
Krishna Arjun,2004,137,5.5,21,Action,hindi
Rahi,1953,139,6.9,27,Drama,hindi
Chaukat Raja,1991,141,7.4,214,Family,marathi
School Master,2010,143,6.9,24,Drama,kannada
Halla Gulla,2015,145,5.2,77,"Action, Comedy",urdu
Monopoly the Game of Money,2012,120,6,32,Thriller,hindi
Maga Maharaju,1983,138,6.8,30,"Comedy, Drama, Romance",telugu
Band Baaja Babuchak,2017,123,6.1,42,Comedy,gujarati
Bebbuli Veta,1985,137.5,6.4,10,Unknown,telugu
Gita,2008,126,6.9,24,Drama,telugu
Kusruthi Kuruppu,1998,135,5.8,40,"Comedy, Drama",malayalam
Mr. and Mrs. Iyer,2002,120,7.9,4681,Drama,tamil
 Siyaasat,2014,126,7.15,12,History,urdu
Inth Ka Jawab Patthar,2002,,3.2,9,"Musical, Action",hindi
Nisithe,1963,126,7.2,10,Drama,bengali
Cabbie,2019,19,8.5,16,"Short, Horror",nepali
Advaitham,1991,181,7,275,"Action, Crime, Drama",malayalam
Maruppacha,1982,137.5,6.4,10,Unknown,malayalam
Kachehari,1994,137,6.4,14,Action,punjabi
Kismet Road,2004,30,6.9,24,Drama,urdu
Fever,2009,14,8.5,8,"Short, Fantasy",nepali
Kaashi Amarnath,2017,162,4.7,11,"Action, Drama, Romance",bhojpuri
Afsana Dilwalon Ka,2001,195,3.6,1024,"Drama, Romance",urdu
Namukkore Aakasham,2015,115,6.9,24,Drama,malayalam
Argentina Fans Kaattoorkadavu,2019,140,4.7,319,"Drama, Sport",malayalam
Mr. X,2015,133,3.8,1816,"Action, Drama, Sci-Fi",hindi
Nakhuda,1968,137.5,6.4,10,Unknown,urdu
Pakhandi,1984,138,6.5,26,Drama,hindi
Ini Ethra Sandhyakal,1979,137.5,6.4,10,Unknown,malayalam
Bachchan,2013,145,6.6,926,"Action, Crime, Thriller",kannada
Desi Kattey,2014,139,4,125,Action,hindi
Vaddante Dabbu,1954,139,6.6,10,"Comedy, Drama",telugu
Nooran,1957,133,6.2,31,Romance,punjabi
Murderer,1935,137.5,6.4,10,Unknown,hindi
Tharangam,2017,153,6.3,478,"Action, Comedy",malayalam
Zunjar,2003,137.5,6.4,10,Unknown,marathi
Pyase Nain,1989,126,6.9,24,Drama,hindi
Anokha Chamatkar,1988,126,6.9,24,Drama,hindi
Vasudhaika 1957,2016,112,5,22,Horror,telugu
Insaan Aur Shaitan,1970,137,5.1,14,Action,hindi
Sapthagiri LLB,2017,138,7.2,56,"Comedy, Drama",telugu
Prem Vidrohi,2012,137,5.5,21,Action,bhojpuri
Manamantha,2016,164,7.7,840,Drama,telugu
2-Aug,2012,120,4.2,9,Thriller,hindi
Ponge Ezhu Manohara,2015,131,6.3,94,"Comedy, Drama",tamil
1:13:7 Ek Tera Saath,2016,120,5.7,57,Horror,hindi
Diyar Bhojai,1980,133,6.2,31,Romance,gujarati
Sair-E-Paristan,1958,135.5,6.6,15,Fantasy,hindi
Lalkare Sheran De,1994,117,5.5,21,Action,punjabi
Azad Champion,1968,137,5.5,21,Action,hindi
Thazampoo,1965,137.5,6.8,6,Unknown,tamil
Haseena 420,1988,137.5,6.2,5,Unknown,urdu
Record,2019,81,5,22,Horror,urdu
Raogari Illu,1988,131,6.3,94,"Comedy, Drama",telugu
Proud to Be a Sikh,2014,92,7.2,20,Drama,punjabi
Paranju Theeratha Visheshangal,2007,137.5,6.3,6,Unknown,malayalam
Banna Bannada Baduku,2017,126,6.9,24,Drama,kannada
Aickarakkonathe Bhishaguaranmaar,2018,144,7.8,239,Drama,malayalam
Laxmi,1957,118,6.6,25,"Drama, Family",hindi
Patukunte Padivelu,1967,145,6.9,24,Drama,telugu
Radha Ghelo Kan,1991,126,6.9,24,Drama,gujarati
"U, Bomsi N Me",2005,130,7.4,13,Comedy,hindi
Les Larmes Noires,2015,127,7.5,37.5,Documentary,urdu
Baeelveda,1979,137.5,6.4,10,Unknown,marathi
Balakot: the true story,2020,137,5.5,21,Action,hindi
Maan Marjada,1991,137,6.9,24,Drama,bengali
Hera Pheri,2000,156,8.2,58037,"Action, Comedy, Crime",hindi
Raagangal Maruvathillai,1983,137.5,7.2,5,Unknown,tamil
Putra Badhu,1998,126,6.9,24,Drama,bengali
Naik Parveen,1975,137.5,6.4,10,Unknown,urdu
Gollu Aur Pappu,2014,112,3.7,101,Comedy,hindi
Shivani,2019,114,5.95,17.5,Crime,hindi
Heer Maan Ja,2019,146,5.2,187,"Action, Comedy, Family",punjabi
Nayakudu Vinayakudu,1980,137.5,6,6,Unknown,telugu
Love You to Death,2012,102,5.3,7,"Comedy, Thriller",hindi
Awara Badal,1964,134,5.9,14,"Action, Adventure, Drama",bhojpuri
Gharer Bou,1990,121,6.9,24,Drama,bengali
Chief Sahib,1996,144,5,37,"Action, Comedy, Romance",urdu
Revelations,2016,118,7.3,135,Drama,tamil
Murder,1994,101,6.6,282.5,"Crime, Drama, Mystery",kannada
Ivide Ingane,1984,101,6,77,"Action, Drama",malayalam
Porter Ponnusami,1979,137.5,6.4,10,Unknown,tamil
Amar Premi Sheni Vijanand,1974,126,6.9,24,Drama,gujarati
Tum Hi To Ho...,2011,121,3.9,10,"Drama, Mystery, Thriller",hindi
Bilhana,1948,137.5,6.4,10,Unknown,tamil
Maharathi,2008,114,7.1,967,"Crime, Drama, Mystery",hindi
Adyathe Maravi,2019,14,7.45,15.5,"Short, Thriller",malayalam
Hum Ek Hain,1961,126,6.9,24,Drama,urdu
Puzha,1980,137.5,6.4,10,Unknown,malayalam
Common Opinion,2016,10,8.4,9,"Documentary, Short",urdu
Paandav,1995,132,4.1,533,"Action, Drama",hindi
Khaidi,1987,137.5,6.4,10,Unknown,telugu
Savitri,1937,136,6.6,15,Fantasy,hindi
Raam,2009,149,6.6,136,"Comedy, Drama",kannada
Police Lock Up,1992,137,5.5,21,Action,hindi
The Dirty Picture,2011,145,6.6,8815,"Biography, Comedy, Drama",tamil
Kurbani,1943,137.5,6.6,5,Unknown,hindi
Nepal First Jagad Guru - Yogiraj Swami Documentary,2020,75,7.5,37.5,Documentary,nepali
Lawaris: Karachi's Unknown Dead,2019,21,8.4,9,"Documentary, Short",urdu
Rakhewal,2019,130,6.9,24,Drama,gujarati
Kanasu Maratakkide,2021,132,6.9,24,Drama,kannada
Pati Patni Aur Tawaif,1990,132,4.3,40,"Drama, Family",hindi
Dholo Mara Malak No,1998,126,6.9,24,Drama,gujarati
Pambaram,1979,137.5,6.4,10,Unknown,malayalam
The Last Color,2019,90,7.7,740,Drama,hindi
Aji Bas Shukriya,1958,153,6.2,10,"Comedy, Drama, Musical",hindi
Delhi Durbar,1956,137.5,6.4,10,Unknown,hindi
Bhartruhari,1932,135.5,6.6,15,Fantasy,hindi
Teer,1954,126,6.9,24,Drama,hindi
Eppothum Vendran,2014,138,6.9,24,Drama,tamil
Prem Paigham,1989,133,6.2,31,Romance,hindi
Smuggler,1996,135,4.4,17,"Action, Crime",hindi
Sheikh Chilli,1958,130,6.1,42,Comedy,punjabi
Sasi Lalitha,2020,126,6.9,24,Drama,telugu
Om Shri Satya Sai Baba,2021,127.5,7.6,19,Biography,hindi
Khooni Insaan,1988,120,4,7,Thriller,hindi
Ilamai Kaalangal,1983,120,5.7,9,Unknown,tamil
Lalu Bhulu,1959,126,7,6,Drama,bengali
Rakkhushi,2006,134,6.5,10,Drama,bengali
Geet Ganga,1982,138,6.9,24,Drama,hindi
Bachke Rahna,1949,145,5.4,416,"Action, Comedy",hindi
Viswasam Athalle Ellam,2015,159,4.9,30,"Comedy, Drama",malayalam
Stop!,2004,134.5,4.5,31,"Comedy, Romance",hindi
Post Man,1967,137.5,6.4,10,Unknown,malayalam
Sannyasi Deshonayok,2020,126,6.9,24,Drama,bengali
Local Utpaat,2020,145,5.4,416,"Action, Comedy",assamese
Niraparadhi,1951,182,6.4,10,Unknown,tamil
Avaghachi Sansar,1960,130,6.1,42,Comedy,marathi
Vicar Ka Achar Open Your Mind Before Your Mouth,2018,90,6.4,10,Unknown,hindi
Neerja,2016,122,7.7,21192,"Biography, Drama, Thriller",hindi
OK Kanmani,2015,139,7.4,5030,Romance,tamil
Meen Kuzhambum Mann Paanaiyum,2016,136,5.4,98,"Comedy, Fantasy",tamil
Nandini,1969,126,6.9,24,Drama,marathi
Begunah,1970,137,5.5,21,Action,hindi
Ishara,1943,137.5,6.4,10,Unknown,hindi
Vakratunda Mahakaaya,2013,92,6.9,75,Comedy,marathi
Kaise Tumse Kahoon,2015,137.5,6.4,10,Unknown,urdu
Idhey Naa Savaal,1984,137.5,6.2,8,Unknown,telugu
Intiguttu,1958,140,7.2,5,"Drama, Family",telugu
Naag Mani,1957,144,6.5,6,"Adventure, Fantasy",hindi
Ghanchakkar,1990,130,7.3,15,Comedy,marathi
Uladhaal,2008,130,6,49,"Drama, Thriller",marathi
Barkha,1953,137.5,6.4,10,Unknown,urdu
Doctor X,1972,120,6,32,Thriller,hindi
Qaid-e-Tanhai,2010,126,8.2,103,Drama,urdu
Gullu Dada Returns: No Compromise.. Only Fight...!,2010,132.5,7.5,50,"Comedy, Crime, Drama",oriya
Arshinagar,2015,134,4.5,198,"Drama, Musical, Romance",bengali
Susral Chalo,1983,137.5,6.4,10,Unknown,punjabi
Na Ghar Ke Na Ghaat Ke,2010,131,6.1,269,"Comedy, Drama",hindi
Therottam,2019,117,5.7,134,"Action, Thriller",malayalam
Shaadi Aur Barbadi,1991,130,6.1,42,Comedy,hindi
SHUDRA: The Untouchables,2011,116,7.8,23,"Drama, Family, History",hindi
Mazaa Mazaa,2005,99,2.8,57,Romance,hindi
Har Din Pyar Ke Din,1990,120,6,32,Thriller,hindi
Chor Na Bhai Ghanti Chor,2016,136,6.9,24,Drama,gujarati
Ek Gadi Baaki Anadi,1988,135,7.7,15,Comedy,marathi
Army,1996,153,4.3,1591,"Action, Drama",hindi
Rebecca,1963,137.5,6.4,10,Unknown,malayalam
Mera Suhag,1987,138,6.6,25,"Drama, Family",hindi
Kamsale Kaisale,2012,90,6.9,24,Drama,kannada
Bottu Katuka,1979,136,6.9,24,Drama,telugu
Atmatyag,2012,126,6.9,24,Drama,bengali
Manju,1983,126,7.6,5,Drama,malayalam
Thakur Jarnail Singh,1966,137,5,9,Action,hindi
Premleela,2015,147,5.6,84,"Action, Romance",bhojpuri
Marunnattil Oru Malayali,1971,137.5,5.7,7,Unknown,malayalam
Munnudi,2000,108,6.6,12,Family,kannada
Halli Mestru,1992,162,6.9,56,"Comedy, Drama",kannada
Licence,1976,126,6.9,24,Drama,punjabi
Kitty Party,2019,134,3.8,5,"Action, Comedy",punjabi
Ajnabi Lage Zindagi,2019,126,6.9,24,Drama,urdu
Sangarshana,1983,139.5,7.1,25,"Action, Drama, Family",telugu
Cool Boys Hot Girls,2012,125,6.1,42,Comedy,telugu
Jeethu,2013,126,6.9,24,Drama,kannada
Once Upon a Time in Mumbaai Dobara,2013,160,4.6,6698,"Action, Crime, Drama",hindi
Akaash Ganga,1990,137,5.5,21,Action,hindi
Srinkhal,1947,137.5,6.4,10,Unknown,bengali
Kabhi Yuh Bhi Toh Ho,2014,102,6.5,18,Family,hindi
Aadi Shakti,1992,137,5.5,21,Action,hindi
Appavi Kateri,2015,126,6.9,24,Drama,tamil
India Unplugged,2014,30,6.4,10,Unknown,urdu
Kanyavanangal,2019,122,6.9,24,Drama,malayalam
Little Singham: Kaal Ka Badla,2020,69,5.1,9,"Animation, Action",hindi
Ek Doctor Ki Maut,1990,122,8.3,1309,"Biography, Drama",hindi
Mazaaq,1943,137.5,6.4,10,Unknown,hindi
The Train,1970,138,6.4,148,"Action, Crime, Mystery",hindi
Lala Begum,2016,58,6.5,21,"Drama, Thriller",urdu
Ved Lavi Jeeva,2010,126,7.2,14,Drama,marathi
Ravoyi Chandamama,1999,136,4.9,186,"Drama, Romance",telugu
Aakhri Ghulam,1989,171,5,32,"Action, Crime, Drama",hindi
Diljani,1935,137.5,6.4,10,Unknown,hindi
Jutt Majhey Da,1988,137.5,6.4,10,Unknown,punjabi
Ek Dopahar (An Afternoon),2021,90,6.9,24,Drama,hindi
Evadu Thakkuva Kadu,2019,125,7.5,21,Action,telugu
Veera Ranachandi,2017,138,6.9,24,Drama,kannada
Ice Cream,2014,144,3.4,114,"Horror, Thriller",telugu
Sasanam,2006,154,6.1,16,Drama,tamil
Krishna Cottage,2004,124,5.1,1004,"Horror, Mystery",hindi
Sankarabharanam,1980,143,8.7,1985,"Drama, Music, Romance",telugu
Ghulam Begum Badshah,1956,124,6.6,5,"Drama, History",hindi
Bombay Rose,2019,97,6.1,440,"Animation, Drama, Romance",hindi
Ratha Kanneer,1954,154,8.1,306,Drama,tamil
Utthaan,1989,126,6.9,24,Drama,hindi
Jaanmoni Vol - 1,2008,70,6.75,43.5,"Musical, Romance",assamese
Badhti Ka Naam Dadhi,1974,126,6.7,37,Drama,hindi
